Site_Name,Latitude,Longitude,C14_date,Std_dev,Lab_Code,Material_Dated,Reference,cal_curve,Orginal_Compiler,Notes
Machu Picchu,-13.1632,-72.54497,595,105,UCLA2538A,charcoal,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Azangaro,-12.95015,-74.29265,616,26,15734,,Finucane_et_al._2007,shcal13,Zondervan and Flantua,None
Qollana,-12.85,-74.29,633,32,15582,,Finucane_et_al._2007,shcal13,Zondervan and Flantua,None
Huaytapallana,-11.5,-75.06,650,60,WIS1970,other organic detritus,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
unknown,-13.6,-73.368,723,36,,,,shcal13,"McMichael, Flantua, and Zondervan",None
,-13.59958148,-73.36815896,723,36,AA51456,,Kellett_2010,unknown,Zondervan,None
Achanchi,-13.56667346,-73.41774275,731,43,AA80685,carbonized,Kellett_2010; 4030masl,shcal13,Zondervan,None
Andamarca,-10.51,-76.5,790,35,Gd1335,wood,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
unknown,-13.717,-73.414,827,30,,,,shcal13,"McMichael, Flantua, and Zondervan",None
,-13.7174928,-73.4136496,827,30,AA56653,,"Bauer,_Kellett_and_Ara�z_2010",unknown,Zondervan,None
unknown,-13.549,-73.432,837,32,,,,shcal13,"McMichael, Flantua, and Zondervan",None
,-13.54921697,-73.43183714,837,32,AA56648,,"Bauer,_Kellett_and_Ara�z_2010",unknown,Zondervan,None
Luisinayoc,-13.59791,-73.35039,905,36,AA80688,carbonized,Kellett_2010,shcal13,Zondervan and Flantua,None
Choque Pukio,-13.36,-71.45,1090,60,Tx4748,wood,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Anccopaccha,-13.59851,-73.30017,1123,37,AA78333,wood,Kellett_2010,shcal13,Zondervan and Flantua,None
Raqchi,-14.1745,-71.369664,1273,25,Oxa_13926,Chenopodium_quinoa,,shcal13,Zondervan and Flantua,None
